"objtype","subtype","name","parent","pos_x","pos_y","pos_z","orient_x","orient_y","orient_z","orient_w","scale_x","scale_y","scale_z","hull_x","hull_y","hull_z","density","friction","bounce","colMask","colMsg","meshURI","diffuse_x","diffuse_y","diffuse_z","ambient","specular_x","specular_y","specular_z","shadowpower","range","constfall","linearfall","quadfall","cone_in","cone_out","power","cone_fall","shadow"
"mesh","graphiconly","ducts",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///ducts.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","entry_arches",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///entry_arches.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","graff_machine_center",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///graff_machine_center.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","graff_machines_side",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///graff_machines_side.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","ground",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///ground.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","handrails",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///handrails.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_lower",,8.26,0.99,19.3,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_lower.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_lower.1",,8.26,0.99,19.71,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_lower.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_lower.10",,-7.8,0.99,20.23,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_lower.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_lower.11",,-7.8,0.99,19.81,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_lower.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_lower.12",,-7.8,0.99,19.43,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_lower.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_lower.13",,-7.8,0.99,19.01,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_lower.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_lower.2",,8.26,0.99,20.1,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_lower.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_lower.3",,8.26,0.99,20.52,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_lower.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_lower.4",,8.26,0.99,20.91,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_lower.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_lower.5",,-5.22,0.76,23.9,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_lower.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_lower.6",,-5.76,0.85,24,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_lower.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_lower.7",,-6.22,0.94,24,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_lower.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_lower.8",,-6.66,0.94,23.87,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_lower.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_lower.9",,-7.8,0.99,20.62,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_lower.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper",,8.26,1.34,19.3,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_upper.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper.1",,8.26,1.51,19.71,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_upper.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper.10",,-7.8,1.3,20.23,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_upper.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper.11",,-7.8,1.45,19.81,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_upper.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper.12",,-7.8,1.51,19.43,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_upper.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper.13",,-7.8,1.34,19.01,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_upper.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper.2",,8.26,1.45,20.1,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_upper.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper.3",,8.26,1.3,20.52,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_upper.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper.4",,8.26,1.13,20.91,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_upper.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper.5",,-5.22,1.16,23.9,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_upper.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper.6",,-5.76,1.25,24,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_upper.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper.7",,-6.22,1.34,24,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_upper.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper.8",,-6.66,1.32,23.87,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_upper.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","hydro_upper.9",,-7.8,1.13,20.62,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///hydro_upper.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever",,7.75,0.27,15.94,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///lever.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever.1",,6.78,0.27,21.21,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///lever.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever.2",,1.01,0.27,22.69,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///lever.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever.3",,-6.09,0.57,21.59,0,-135,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///lever.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever.4",,-6.89,0.27,14,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///lever.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever.5",,-3.87,-0.2,-19.61,0,115,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///lever.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever.6",,0,-0.2,-19.63,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///lever.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever.7",,3.81,-0.2,-19.61,0,-115,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///lever.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_cogs",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///lever_cogs.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_small",,2.86,1.85,23.06,-45,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///lever_small.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_small.1",,2.66,1.85,23.06,-45,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///lever_small.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_small.2",,0.03,1.59,23.06,-45,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///lever_small.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","lever_small.3",,-0.15,1.59,23.06,-45,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///lever_small.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","pipe_corners",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///pipe_corners.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","pipes",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///pipes.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","platform",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///platform.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","tanks",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///tanks.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","top_squares",,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///top_squares.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel",,7.31,1.76,18.14,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///wheel.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel.1",,-3.14,1.19,22.77,0,-90,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///wheel.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel.2",,-7.01,1.76,18.14,0,180,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///wheel.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel.3",,-4.94,0.74,-23.47,0,-155,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///wheel.mesh",,,,,,,,,,,,,,,,,
"mesh","graphiconly","wheel.4",,0,0.74,-23.59,0,-90,0,,1,1,1,0,0,0,0,0,0,0,0,"meru:///wheel.mesh",,,,,,,,,,,,,,,,,
